,address,link,beds,baths,sqft,price
64,"93 College Road, Center Harbor, NH 03226",https://www.zillow.com/homedetails/93-College-Rd-Center-Harbor-NH-03226/92815823_zpid/,4.0,3.0,3144,1050000
65,"109 Weirs Boulevard UNIT 8, Laconia, NH 03246",https://www.zillow.com/homedetails/109-Weirs-Blvd-8-Laconia-NH-03246/2061346469_zpid/,2.0,2.0,2251,1095000
66,"30 Church Street, Laconia, NH 03246",https://www.zillow.com/homedetails/30-Church-St-Laconia-NH-03246/2076910925_zpid/,8.0,6.0,5266,1095000
67,"44 Plymouth Street, Center Harbor, NH 03226",https://www.zillow.com/homedetails/44-Plymouth-St-Center-Harbor-NH-03226/92817472_zpid/,6.0,5.0,3484,1099000
68,"86 Sagamore Road, Gilford, NH 03249",https://www.zillow.com/homedetails/86-Sagamore-Rd-Gilford-NH-03249/211097320_zpid/,3.0,4.0,3848,1100000
69,"33 Olde English Lane, Gilford, NH 03249",https://www.zillow.com/homedetails/33-Olde-English-Ln-Gilford-NH-03249/126136198_zpid/,3.0,3.0,2701,1149000
70,"124 Daniel Webster Highway, Meredith, NH 03253",https://www.zillow.com/homedetails/124-Daniel-Webster-Hwy-Meredith-NH-03253/2143870415_zpid/,3.0,2.0,4240,1150000
71,"142 Yasmin Drive, Gilford, NH 03249",https://www.zillow.com/homedetails/142-Yasmin-Dr-Gilford-NH-03249/211097338_zpid/,3.0,4.0,3154,1175000
72,"22 Darwin Place, Laconia, NH 03246",https://www.zillow.com/homedetails/22-Darwin-Pl-Laconia-NH-03246/305949866_zpid/,3.0,3.0,2914,1175000
73,"46 Horne Road Lot 0 - The Silverton, Belmont, NH 03220",https://www.zillow.com/homedetails/46-Horne-Rd-LOT-0-The-Silverton-Belmont-NH-03220/347968294_zpid/,4.0,3.0,3400,1200000
74,"49D Solace Point Road, Meredith, NH 03253",https://www.zillow.com/homedetails/49D-Solace-Point-Rd-Meredith-NH-03253/344707149_zpid/,3.0,3.0,2175,1245000
75,"51 Main Street, Meredith, NH 03253",https://www.zillow.com/homedetails/51-Main-St-Meredith-NH-03253/2055304827_zpid/,,,4333,1299000
76,"138 Cumberland Road, Gilford, NH 03249",https://www.zillow.com/homedetails/138-Cumberland-Rd-Gilford-NH-03249/92813210_zpid/,3.0,5.0,5320,1350000
77,"614 Endicott Street E. UNIT #6, Laconia, NH 03246",https://www.zillow.com/homedetails/614-Endicott-St-E-UNIT-6-Laconia-NH-03246/112986913_zpid/,4.0,2.0,1780,1395000
78,"20 Mountain Ridge Drive, Meredith, NH 03253",https://www.zillow.com/homedetails/20-Mountain-Ridge-Rd-Meredith-NH-03253/86703978_zpid/,5.0,5.0,5395,1849000
79,"58 Hillcroft Road, Laconia, NH 03246",https://www.zillow.com/homedetails/58-Hillcroft-Rd-Laconia-NH-03246/86704258_zpid/,5.0,4.0,3200,1875000
80,"70 Sunset Drive, Belmont, NH 03220",https://www.zillow.com/homedetails/70-Sunset-Dr-Belmont-NH-03220/86703930_zpid/,6.0,8.0,6946,1999999
81,"239 Dockham Shore Road, Gilford, NH 03249",https://www.zillow.com/homedetails/239-Dockham-Shore-Rd-Gilford-NH-03249/126136205_zpid/,3.0,3.0,2033,2175000
82,"47 Lighthouse Cliffs Road, Laconia, NH 03246",https://www.zillow.com/homedetails/47-Lighthouse-Clfs-Laconia-NH-03246/211098885_zpid/,5.0,5.0,4846,2295000
83,"16 Blueberry Hill Lane, Gilford, NH 03249",https://www.zillow.com/homedetails/16-Blueberry-Hill-Ln-Gilford-NH-03249/211094364_zpid/,4.0,4.0,3484,2299999
84,"39 Dutile Shore Road, Belmont, NH 03220",https://www.zillow.com/homedetails/39-Dutile-Shore-Rd-Belmont-NH-03220/86702427_zpid/,4.0,3.0,3820,2300000
85,"8-10 Arch Street, Laconia, NH 03246",https://www.zillow.com/homedetails/8-Arch-St-10-Laconia-NH-03246/2057432166_zpid/,,,8830,2300000
86,"44 Loch Eden Shores Road, Meredith, NH 03253",https://www.zillow.com/homedetails/44-Loch-Eden-Shores-Rd-Meredith-NH-03253/86711480_zpid/,3.0,3.0,1820,2390000
87,"176 Glidden Road, Gilford, NH 03249",https://www.zillow.com/homedetails/176-Glidden-Rd-Gilford-NH-03249/2055063645_zpid/,4.0,4.0,3164,2495000
88,"49 Pinnacle Park Road, Meredith, NH 03253",https://www.zillow.com/homedetails/49-Pinnacle-Park-Rd-Meredith-NH-03253/86704630_zpid/,3.0,4.0,2882,2599000
89,"118 ANTHONY Avenue, Alton, NH 03810",https://www.zillow.com/homedetails/118-Anthony-Ave-Alton-Bay-NH-03810/118064550_zpid/,4.0,5.0,4170,2695000
90,"97 East Side Drive UNIT 10, Alton, NH 03810",https://www.zillow.com/homedetails/97-E-Side-Dr-10-Alton-Bay-NH-03810/347383986_zpid/,4.0,3.0,2153,2700000
91,"17 Partridge Lane, Gilford, NH 03249",https://www.zillow.com/homedetails/17-Partridge-Ln-Gilford-NH-03249/336947689_zpid/,2.0,4.0,5388,2850000
92,"31 Ginger Gold Way, Gilford, NH 03249",https://www.zillow.com/homedetails/31-Ginger-Gold-Way-Gilford-NH-03249/347909784_zpid/,5.0,5.0,4450,2999900
93,"2 Western Lane, Meredith, NH 03253",https://www.zillow.com/homedetails/2-Western-Ln-Meredith-NH-03253/211108081_zpid/,2.0,4.0,2592,3150000
94,"58 Shore Drive, Laconia, NH 03246",https://www.zillow.com/homedetails/58-Shore-Dr-Laconia-NH-03246/86712536_zpid/,5.0,5.0,4156,3250000
95,"134 Black Point Road, Alton, NH 03810",https://www.zillow.com/homedetails/134-Black-Point-Rd-Alton-Bay-NH-03810/211121902_zpid/,3.0,5.0,5716,3449000
96,"1 Little Beaver Island, Meredith, NH 03253",https://www.zillow.com/homedetails/1-Little-Beaver-Is-Meredith-NH-03253/95332348_zpid/,4.0,1.0,1309,3500000
97,"62 Red Gate Lane, Center Harbor, NH 03226",https://www.zillow.com/homedetails/62-Red-Gate-Ln-Center-Harbor-NH-03226/348175961_zpid/,3.0,3.0,2244,3750000
98,"82 Dinsmoor Point Road, Gilford, NH 03249",https://www.zillow.com/homedetails/82-Dinsmoor-Point-Rd-Gilford-NH-03249/92814266_zpid/,4.0,5.0,5890,4995000
99,"291 Endicott N Street, Laconia, NH 03246",https://www.zillow.com/homedetails/291-Endicott-St-N-Laconia-NH-03246/211099057_zpid/,,,8538,5200000
100,"56 Timber Ridge Road, Alton, NH 03810",https://www.zillow.com/homedetails/56-Timber-Ridge-Rd-Alton-Bay-NH-03810/86715383_zpid/,5.0,4.0,5790,5990000
101,"10, 11 and 19 Loch Lane, Gilford, NH 03249",https://www.zillow.com/homedetails/10-11-Nineteen-Loch-Ln-Gilford-NH-03249/342487118_zpid/,6.0,8.0,8609,12998000
